Identifier,Country,Country code,Test type,Insecticide tested,Insecticide amount ,Synergist,Synergist Concentration,Intensity ,Year,1st admin level,WikiData accession,2nd admin level,3rd admin level,Site (Village or Locality),Latitude ,Longitude,Species tested,Total mosquitoes in all test replicates,Time at which mortality recorded,Calculated  average mortality adjusted for control  (%),Chemical type,Resistance status ,Resistance Intensity,Origin of tested mosquitoes,Data entry name,Data entry date,Additional notes
PMI000011,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2007,Zambezia Province,Q622803,Nicoadala District,,Nicoadala,-17.78264,37.00498,An. funestus s.l.,25,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000012,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2007,Zambezia Province,Q622803,Namacurra District,,Namacurra,-17.49711,37.02687,An. funestus s.l.,20,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000013,Mozambique,MZ,WHO,Bendiocarb,0.10%,None,NA,NA,2007,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. funestus s.l.,50,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000014,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2007,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. funestus s.l.,40,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000015,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2007,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. gambiae s.l.,30,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000016,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2007,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. funestus s.l.,75,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000017,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2007,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. gambiae s.l.,30,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000018,Mozambique,MZ,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2007,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. funestus s.l.,50,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000019,Ethiopia,ET,WHO,DDT,4.00%,None,NA,NA,2008,Oromia Region,Q202107,Jimma Zone,,Omo Nada,7.63333,37.25,An. gambiae s.l.,NR,24 hr,1.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000020,Ethiopia,ET,WHO,Malathion,5.00%,None,NA,NA,2008,Oromia Region,Q202107,Jimma Zone,,Omo Nada,7.63333,37.25,An. gambiae s.l.,NR,24 hr,91.2%,Organophosphates,Possible resistance,NA,NR,ORIGINAL,,
PMI000021,Ethiopia,ET,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Oromia Region,Q202107,Jimma Zone,,Omo Nada,7.63333,37.25,An. gambiae s.l.,NR,24 hr,70.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000022,Ethiopia,ET,WHO,DDT,4.00%,None,NA,NA,2008,Oromia Region,Q202107,Arsi Zone,,Adami-Tullu,7.8607,38.70325,An. gambiae s.l.,NR,24 hr,1.2%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000023,Ethiopia,ET,WHO,Malathion,5.00%,None,NA,NA,2008,Oromia Region,Q202107,Arsi Zone,,Adami-Tullu,7.8607,38.70325,An. gambiae s.l.,NR,24 hr,93.7%,Organophosphates,Possible resistance,NA,NR,ORIGINAL,,
PMI000024,Ethiopia,ET,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Oromia Region,Q202107,Arsi Zone,,Adami-Tullu,7.8607,38.70325,An. gambiae s.l.,NR,24 hr,26.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000025,Ethiopia,ET,WHO,DDT,4.00%,None,NA,NA,2008,Oromia Region,Q202107,East Shewa Zone,,Adama,8.53996,39.27198,An. gambiae s.l.,NR,24 hr,18.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000026,Ethiopia,ET,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Oromia Region,Q202107,East Shewa Zone,,Adama,8.53996,39.27198,An. gambiae s.l.,NR,24 hr,91.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000027,Ghana,GH,WHO,Propoxur,0.10%,None,NA,NA,2008,Northern Region,Q502215,Tolon District,,Tolon ,9.43094,-1.0646,An. gambiae s.l.,NR,24 hr,90.0%,Carbamates,Possible resistance,NA,NR,ORIGINAL,,
PMI000028,Ghana,GH,WHO,DDT,4.00%,None,NA,NA,2008,Northern Region,Q502215,Tolon District,,Tolon ,9.43094,-1.0646,An. gambiae s.l.,NR,24 hr,63.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000029,Ghana,GH,WHO,Malathion,5.00%,None,NA,NA,2008,Northern Region,Q502215,Tolon District,,Tolon ,9.43094,-1.0646,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,ORIGINAL,,
PMI000030,Ghana,GH,WHO,Cyfluthrin,0.15%,None,NA,NA,2008,Northern Region,Q502215,Tolon District,,Tolon ,9.43094,-1.0646,An. gambiae s.l.,NR,24 hr,98.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000031,Ghana,GH,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Northern Region,Q502215,Tolon District,,Tolon ,9.43094,-1.0646,An. gambiae s.l.,NR,24 hr,95.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000032,Ghana,GH,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Northern Region,Q502215,Tolon District,,Tolon ,9.43094,-1.0646,An. gambiae s.l.,NR,24 hr,99.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000033,Ghana,GH,WHO,Propoxur,0.10%,None,NA,NA,2008,Northern Region,Q502215,Savelugu-Nanton District,,Savelugu ,9.62472,-0.82777,An. gambiae s.l.,NR,24 hr,90.0%,Carbamates,Possible resistance,NA,NR,ORIGINAL,,
PMI000034,Ghana,GH,WHO,DDT,4.00%,None,NA,NA,2008,Northern Region,Q502215,Savelugu-Nanton District,,Savelugu ,9.62472,-0.82777,An. gambiae s.l.,NR,24 hr,63.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000035,Ghana,GH,WHO,Malathion,5.00%,None,NA,NA,2008,Northern Region,Q502215,Savelugu-Nanton District,,Savelugu ,9.62472,-0.82777,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,ORIGINAL,,
PMI000036,Ghana,GH,WHO,Cyfluthrin,0.15%,None,NA,NA,2008,Northern Region,Q502215,Savelugu-Nanton District,,Savelugu ,9.62472,-0.82777,An. gambiae s.l.,NR,24 hr,98.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000037,Ghana,GH,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Northern Region,Q502215,Savelugu-Nanton District,,Savelugu ,9.62472,-0.82777,An. gambiae s.l.,NR,24 hr,95.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000038,Ghana,GH,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Northern Region,Q502215,Savelugu-Nanton District,,Savelugu ,9.62472,-0.82777,An. gambiae s.l.,NR,24 hr,99.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000039,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2008,Zambezia Province,Q622803,Morrumbala District,,Morrumbala,-17.329,35.591,An. funestus s.l.,20,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000040,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2008,Zambezia Province,Q622803,Morrumbala District,,Morrumbala,-17.329,35.591,An. funestus s.l.,92,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000041,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2008,Zambezia Province,Q622803,Mocuba District,,Mocuba,-16.85,36.98333,An. funestus s.l.,60,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000042,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2008,Zambezia Province,Q622803,Mocuba District,,Mocuba,-16.85,36.98333,An. funestus s.l.,85,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000043,Mozambique,MZ,WHO,Deltamethrin,0.025%,None,NA,NA,2008,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. funestus s.l.,50,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000044,Mozambique,MZ,WHO,DDT,4.00%,None,NA,NA,2008,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. funestus s.l.,30,24 hr,100.0%,Organochlorides,Susceptible,NA,NR,ORIGINAL,,
PMI000045,Mozambique,MZ,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Zambezia Province,Q622803,Maganja da Costa District,,Maganja da Costa ,-17.18161,37.46814,An. funestus s.l.,35,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000046,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Ziguinchor Region,Q822692,Oussouye Department,,Oussouye,12.48722,-16.54472,An. gambiae s.l.,NR,24 hr,90.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000047,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Ziguinchor Region,Q822692,Oussouye Department,,Oussouye,12.48722,-16.54472,An. gambiae s.l.,NR,24 hr,65.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000048,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2008,Kolda Region,Q738081,M̩dina Yoro Foulah Department,Ndoffane,Nioro,13.49998,-15.04994,An. gambiae s.l.,17,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000049,Senegal,SN,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Kolda Region,Q738081,M̩dina Yoro Foulah Department,Ndoffane,Nioro,13.49998,-15.04994,An. gambiae s.l.,NR,24 hr,95.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000050,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Kolda Region,Q738081,M̩dina Yoro Foulah Department,Ndoffane,Nioro,13.49998,-15.04994,An. gambiae s.l.,NR,24 hr,95.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000051,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Kolda Region,Q738081,M̩dina Yoro Foulah Department,Ndoffane,Nioro,13.49998,-15.04994,An. gambiae s.l.,NR,24 hr,85.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000052,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2008,Dakar Region,Q856268,Gu̩diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000053,Senegal,SN,WHO,DDT,4.00%,None,NA,NA,2008,Dakar Region,Q856268,Gu̩diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,52.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000054,Senegal,SN,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Dakar Region,Q856268,Gu̩diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,97.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000055,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Dakar Region,Q856268,Gu̩diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,96.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000056,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Dakar Region,Q856268,Gu̩diawaye Department,,Guediawaye,14.77323,-17.39079,An. gambiae s.l.,NR,24 hr,82.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000057,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2008,Thi̬s Region,Q847682,Thi̬s Department,,Thies,14.80452,-16.92426,An. gambiae s.l.,NR,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000058,Senegal,SN,WHO,DDT,4.00%,None,NA,NA,2008,Thi̬s Region,Q847682,Thi̬s Department,,Thies,14.80452,-16.92426,An. gambiae s.l.,NR,24 hr,67.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000059,Senegal,SN,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Thi̬s Region,Q847682,Thi̬s Department,,Thies,14.80452,-16.92426,An. gambiae s.l.,NR,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000060,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Thi̬s Region,Q847682,Thi̬s Department,,Thies,14.80452,-16.92426,An. gambiae s.l.,NR,24 hr,73.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000061,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Thi̬s Region,Q847682,Thi̬s Department,,Thies,14.80452,-16.92426,An. gambiae s.l.,NR,24 hr,66.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000062,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Fatick Region,Q856282,Fatick Department,,Dioffior,13.98333,-16.76666,An. gambiae s.l.,NR,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000063,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Fatick Region,Q856282,Fatick Department,,Dioffior,13.98333,-16.76666,An. gambiae s.l.,NR,24 hr,99.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000064,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Saint-Louis Region,Q178872,Dagana Department,,Richard Toll,16.4613,-15.68757,An. pharoensis,76,24 hr,95.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000065,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Saint-Louis Region,Q178872,Dagana Department,,Richard Toll,16.4613,-15.68757,An. pharoensis,72,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000066,Senegal,SN,WHO,DDT,4.00%,None,NA,NA,2008,Louga Region,Q738061,Lingu̬re Department,,Linguere,15.39287,-15.11552,An. gambiae s.l.,NR,24 hr,88.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000067,Senegal,SN,WHO,Deltamethrin,0.05%,None,NA,NA,2008,Louga Region,Q738061,Lingu̬re Department,,Linguere,15.39287,-15.11552,An. gambiae s.l.,NR,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000068,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Louga Region,Q738061,Lingu̬re Department,,Linguere,15.39287,-15.11552,An. gambiae s.l.,NR,24 hr,100.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000069,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Louga Region,Q738061,Lingu̬re Department,,Linguere,15.39287,-15.11552,An. gambiae s.l.,NR,24 hr,94.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000070,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Saint-Louis Region,Q178872,Podor Department,,Podor,16.65,-14.96666,An. gambiae s.l.,NR,24 hr,98.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000071,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Saint-Louis Region,Q178872,Podor Department,,Podor,16.65,-14.96666,An. gambiae s.l.,NR,24 hr,86.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000072,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Kolda Region,Q738081,V̩lingara Department,,Velingara,13.14756,-14.11483,An. gambiae s.l.,80,24 hr,80.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000073,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Kolda Region,Q738081,V̩lingara Department,,Velingara,13.14756,-14.11483,An. gambiae s.l.,81,24 hr,60.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000074,Senegal,SN,WHO,Bendiocarb,0.10%,None,NA,NA,2008,Tambacounda Region,Q848554,Tambacounda Department,,Tambacounda,13.76888,-13.66722,An. gambiae s.l.,NR,24 hr,91.0%,Carbamates,Possible resistance,NA,NR,ORIGINAL,,
PMI000075,Senegal,SN,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Tambacounda Region,Q848554,Tambacounda Department,,Tambacounda,13.76888,-13.66722,An. gambiae s.l.,NR,24 hr,99.0%,Pyrethroids,Susceptible,NA,NR,ORIGINAL,,
PMI000076,Senegal,SN,WHO,Permethrin,0.75%,None,NA,NA,2008,Tambacounda Region,Q848554,Tambacounda Department,,Tambacounda,13.76888,-13.66722,An. gambiae s.l.,NR,24 hr,97.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000077,Uganda,UG,WHO,Bendiocarb,0.10%,None,NA,NA,2008,Northern Region,Q2559686,Oyam District,,Oyam,2.27748,32.44672,An. gambiae s.l.,115,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000078,Uganda,UG,WHO,Fenitrothion,0.10%,None,NA,NA,2008,Northern Region,Q2559686,Oyam District,,Oyam,2.27748,32.44672,An. gambiae s.l.,47,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,ORIGINAL,,
PMI000079,Uganda,UG,WHO,DDT,4.00%,None,NA,NA,2008,Northern Region,Q2559686,Oyam District,,Oyam,2.27748,32.44672,An. gambiae s.l.,129,24 hr,24.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000080,Uganda,UG,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Northern Region,Q2559686,Oyam District,,Oyam,2.27748,32.44672,An. gambiae s.l.,103,24 hr,40.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000081,Uganda,UG,WHO,Bendiocarb,0.10%,None,NA,NA,2008,Northern Region,Q2559686,Apac District,,Apac,1.98021,32.53182,An. gambiae s.l.,62,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000082,Uganda,UG,WHO,Fenitrothion,0.10%,None,NA,NA,2008,Northern Region,Q2559686,Apac District,,Apac,1.98021,32.53182,An. gambiae s.l.,31,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,ORIGINAL,,
PMI000083,Uganda,UG,WHO,DDT,4.00%,None,NA,NA,2008,Northern Region,Q2559686,Apac District,,Apac,1.98021,32.53182,An. gambiae s.l.,242,24 hr,44.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000084,Uganda,UG,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Northern Region,Q2559686,Apac District,,Apac,1.98021,32.53182,An. gambiae s.l.,179,24 hr,66.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000085,Uganda,UG,WHO,Bendiocarb,0.10%,None,NA,NA,2008,Northern Region,Q2559686,Kitgum District,,Kitgum,3.26629,32.79636,An. gambiae s.l.,46,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000086,Uganda,UG,WHO,Fenitrothion,0.10%,None,NA,NA,2008,Northern Region,Q2559686,Kitgum District,,Kitgum,3.26629,32.79636,An. gambiae s.l.,17,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,ORIGINAL,,
PMI000087,Uganda,UG,WHO,DDT,4.00%,None,NA,NA,2008,Northern Region,Q2559686,Kitgum District,,Kitgum,3.26629,32.79636,An. gambiae s.l.,115,24 hr,30.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000088,Uganda,UG,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2008,Northern Region,Q2559686,Kitgum District,,Kitgum,3.26629,32.79636,An. gambiae s.l.,80,24 hr,45.0%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000089,Angola,AO,WHO,Lambda-cyhalothrin,0.05%,None,NA,NA,2009,Huambo Province,Q218848,,,Huambo ,-12.7667,15.73331,An. coustani,40,24 hr,94.0%,Pyrethroids,Possible resistance,NA,NR,ORIGINAL,,
PMI000090,Ethiopia,ET,WHO,Bendiocarb,0.10%,None,NA,NA,2009,Oromia Region,Q202107,North Shewa Zone,Dangbo ,Babile,9.2,38.7,An. gambiae s.l.,NR,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000091,Ethiopia,ET,WHO,DDT,4.00%,None,NA,NA,2009,Oromia Region,Q202107,North Shewa Zone,Seme ,Babile,9.2,38.7,An. gambiae s.l.,NR,24 hr,10.9%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000092,Ethiopia,ET,WHO,Malathion,5.00%,None,NA,NA,2009,Oromia Region,Q202107,North Shewa Zone,Seme ,Babile,9.2,38.7,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,ORIGINAL,,
PMI000093,Ethiopia,ET,WHO,Deltamethrin,0.05%,None,NA,NA,2009,Oromia Region,Q202107,North Shewa Zone,Dangbo ,Babile,9.2,38.7,An. gambiae s.l.,NR,24 hr,68.1%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000094,Ethiopia,ET,WHO,Bendiocarb,0.10%,None,NA,NA,2009,Oromia Region,Q202107,East Wollega,,Merti,9.5,36.98333,An. gambiae s.l.,NR,24 hr,99.1%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000095,Ethiopia,ET,WHO,DDT,4.00%,None,NA,NA,2009,Oromia Region,Q202107,East Wollega,,Merti,9.5,36.98333,An. gambiae s.l.,NR,24 hr,13.3%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000096,Ethiopia,ET,WHO,Malathion,5.00%,None,NA,NA,2009,Oromia Region,Q202107,East Wollega,,Merti,9.5,36.98333,An. gambiae s.l.,NR,24 hr,96.8%,Organophosphates,Possible resistance,NA,NR,ORIGINAL,,
PMI000097,Ethiopia,ET,WHO,Deltamethrin,0.05%,None,NA,NA,2009,Oromia Region,Q202107,East Wollega,,Merti,9.5,36.98333,An. gambiae s.l.,NR,24 hr,76.2%,Pyrethroids,Confirmed resistance,NA,NR,ORIGINAL,,
PMI000098,Ethiopia,ET,WHO,Bendiocarb,0.10%,None,NA,NA,2009,Oromia Region,Q202107,Jimma Zone,,Omo Nada,7.63333,37.25,An. gambiae s.l.,NR,24 hr,100.0%,Carbamates,Susceptible,NA,NR,ORIGINAL,,
PMI000099,Ethiopia,ET,WHO,Pirimiphos-methyl,1.00%,None,NA,NA,2009,Oromia Region,Q202107,Jimma Zone,,Omo Nada,7.63333,37.25,An. gambiae s.l.,NR,24 hr,100.0%,Organophosphates,Susceptible,NA,NR,ORIGINAL,,
PMI000100,Ethiopia,ET,WHO,DDT,4.00%,None,NA,NA,2009,Oromia Region,Q202107,Jimma Zone,,Omo Nada,7.63333,37.25,An. gambiae s.l.,NR,24 hr,0.0%,Organochlorides,Confirmed resistance,NA,NR,ORIGINAL,,
